,Radiation,Temperature,Pressure,Humidity,WindDirection(Degrees),Speed,Month,Day,Hour,Minute,Second,risehour,riseminute,sethour,setminute
0,1.21,48,30.46,59,177.39,5.62,9,29,23,55,26,6,13,18,13
1,1.21,48,30.46,58,176.78,3.37,9,29,23,50,23,6,13,18,13
2,1.23,48,30.46,57,158.75,3.37,9,29,23,45,26,6,13,18,13
3,1.21,48,30.46,60,137.71,3.37,9,29,23,40,21,6,13,18,13
4,1.17,48,30.46,62,104.95,5.62,9,29,23,35,24,6,13,18,13
5,1.21,48,30.46,64,120.2,5.62,9,29,23,30,24,6,13,18,13
6,1.2,49,30.46,72,112.45,6.75,9,29,23,25,19,6,13,18,13
7,1.24,49,30.46,71,122.97,5.62,9,29,23,20,22,6,13,18,13
8,1.23,49,30.46,80,101.18,4.5,9,29,23,15,22,6,13,18,13
9,1.21,49,30.46,85,141.87,4.5,9,29,23,10,22,6,13,18,13
10,1.23,49,30.47,93,120.55,2.25,9,29,23,5,23,6,13,18,13
11,1.21,49,30.47,98,144.19,3.37,9,29,23,0,25,6,13,18,13
12,1.22,49,30.47,99,139.8,6.75,9,29,22,55,20,6,13,18,13
13,1.21,50,30.47,99,140.92,2.25,9,29,22,50,19,6,13,18,13
14,1.23,50,30.47,99,147.61,5.62,9,29,22,45,31,6,13,18,13
15,1.22,50,30.47,99,113.78,4.5,9,29,22,40,23,6,13,18,13
16,1.21,50,30.47,99,123.03,10.12,9,29,22,35,19,6,13,18,13
17,1.22,50,30.47,99,173.73,6.75,9,29,22,30,22,6,13,18,13
18,1.22,50,30.47,98,91.43,6.75,9,29,22,25,19,6,13,18,13
19,1.2,50,30.47,98,109.74,6.75,9,29,22,20,22,6,13,18,13
20,1.2,50,30.47,98,143.53,2.25,9,29,22,15,22,6,13,18,13
21,1.2,50,30.47,97,146.76,5.62,9,29,22,10,21,6,13,18,13
22,1.21,50,30.47,97,158.35,4.5,9,29,22,5,20,6,13,18,13
23,1.22,50,30.47,97,166.05,5.62,9,29,22,0,26,6,13,18,13
24,1.22,50,30.47,96,151.82,5.62,9,29,21,55,20,6,13,18,13
25,1.22,50,30.47,96,152.52,6.75,9,29,21,50,32,6,13,18,13
26,1.24,50,30.47,95,127.82,7.87,9,29,21,45,28,6,13,18,13
27,1.23,50,30.47,95,157.58,6.75,9,29,21,40,20,6,13,18,13
28,1.23,50,30.47,95,172.96,7.87,9,29,21,35,21,6,13,18,13
29,1.23,50,30.47,95,143.82,6.75,9,29,21,30,21,6,13,18,13
30,1.24,50,30.47,94,154.03,5.62,9,29,21,25,22,6,13,18,13
31,1.2,50,30.47,93,165.93,4.5,9,29,21,20,21,6,13,18,13
32,1.24,50,30.47,93,139.82,7.87,9,29,21,15,23,6,13,18,13
33,1.21,49,30.47,93,166.07,9.0,9,29,21,10,20,6,13,18,13
34,1.24,50,30.47,93,116.16,5.62,9,29,21,5,26,6,13,18,13
35,1.2,50,30.47,92,157.48,4.5,9,29,21,0,20,6,13,18,13
36,1.19,50,30.47,91,112.27,7.87,9,29,20,55,18,6,13,18,13
37,1.25,50,30.47,90,133.69,6.75,9,29,20,50,20,6,13,18,13
